actual_rul,pred_rul
22,28.66248033467811
39,36.42253376671682
107,124.09281867729862
75,75.25584366539708
149,103.83290660263891
78,92.46227467450629
94,117.41624296106757
14,14.169485285694073
99,98.31985697854238
162,130.2973083033596
143,117.28921370812466
7,10.052411189576167
71,78.06252322979603
105,110.94522300963128
12,22.891606210897713
160,124.78710023345708
162,102.2600076024548
104,98.94071491879737
194,130.23342438885416
82,91.60503327785234
91,84.78450978722475
11,12.777357460340477
26,35.94315927577626
142,122.54087035226219
39,42.718939217943735
92,114.34154137260298
76,69.8025120246318
124,128.4011757785706
64,76.56650284897133
118,109.36342238428877
6,9.154320134521415
22,15.840716253157622
147,118.07341995855063
126,89.51520201471318
36,27.653673640330453
73,78.54161712893621
89,74.5315129766792
11,16.208790608951052
151,78.8478294088741
10,15.437383389540532
97,81.4310809944934
30,27.41331654964781
42,52.60110319297846
60,43.764131779652026
85,107.16120471970798
134,126.13698810221516
34,30.60340051526292
45,40.31454706142344
24,22.801471156092653
86,80.36644257523416
119,117.64095228623773
151,129.2136813509755
142,128.53714606747334
176,118.3169545658499
157,129.83929166714302
67,75.07311348900663
97,123.42061081477941
8,5.351246192229693
154,125.13253495539354
139,122.48185605691268
51,39.03997450769545
33,31.7204123056753
184,117.86345047401484
46,55.11327211895341
12,19.31852234345732
133,107.5670012489474
46,43.23728826792157
46,46.16976902205644
12,12.125291022372187
33,50.219918278638985
15,24.54782245162774
176,124.582494782203
23,32.26388788278523
89,101.72339165417709
124,125.08839582168916
163,128.27019348117418
25,44.66779576921139
74,76.92511173347086
78,97.52395553903305
114,113.22282198564669
96,127.38288655825694
10,16.78397083482871
172,127.89903284477211
166,129.34638357038455
115,123.57712311046811
70,64.84088531902306
94,121.91870516916336
56,56.22173636370132
86,64.17051295810985
96,78.58907234087647
50,54.1454509778369
73,103.2561047596731
154,117.35542089053645
129,115.43234870368639
171,120.20902657131141
71,94.28177386269024
105,111.32517525504134
113,126.7432161748436
37,46.195474819986885
7,14.928457172988297
13,15.701673896379939
22,16.79702979888851
9,13.166127366746151
120,126.52950263969635
100,77.67619344498662
107,60.59772454537674
41,54.432803044994294
153,122.75606673260823
126,130.38235777997446
59,68.55449445418337
18,29.09926908452615
66,104.9482566000621
13,17.4678454704384
14,28.716436681420877
139,112.57120705068068
13,8.4736994852379
75,109.96590450704704
8,16.502559674838587
109,99.98031977282123
137,104.17505978804311
41,38.32159728104705
192,128.39983011509656
23,36.605104231283754
86,61.158486335563246
184,117.02032811695845
15,17.593560040854392
195,128.47143568916854
126,128.75381864189575
120,118.99029898995687
165,115.26835474151888
101,68.77658537683459
116,110.1612981340331
126,130.5703706648006
36,40.08236468083235
7,12.386149849063765
122,119.00458715388021
159,111.29645059982855
88,85.45165407751892
173,128.59886952816208
146,109.9665977772453
130,126.40668819811805
108,128.25269385735814
53,59.14101742392353
162,127.16371683005596
59,98.14879309354663
100,130.92454613990333
56,61.041119061478824
145,126.62323869538274
76,69.86741950360769
57,67.46671623180586
31,20.50930871385464
88,109.02132913249424
173,104.32087839604672
34,45.07487113228883
7,10.721323873511839
133,126.510869377748
172,116.35669324467374
6,6.987313844167109
22,21.256165494633702
83,115.7827204355734
82,79.62434653621195
84,105.37041685699411
95,115.95285187094328
174,133.72889227960698
111,121.3000354756509
72,128.1946811653444
109,122.49192634178726
87,107.41366414178573
179,129.67531746973478
158,131.2662123801857
126,90.02270516836923
12,20.11877774851011
8,7.9488691510455665
10,14.758526664270475
123,74.32429270442633
103,88.67803844892964
12,26.158367235850342
106,93.73866224959876
12,22.643905513247642
32,24.786670347135423
37,36.53203817842097
116,119.7534824789942
15,15.866553013179589
10,10.422557059701905
46,33.96352246865113
142,130.64593892942787
24,36.87569384178905
135,100.89593975990473
56,102.52870215430497
43,58.13520214634327
178,128.73263819364664
71,90.72856547412455
104,106.433807637176
15,18.84221104316161
166,126.91848859955361
89,121.51791507262149
36,34.13571723663614
11,11.93276562028623
92,79.23572030662334
96,77.8400990956999
59,80.73842057672326
13,7.5729708077806155
167,127.90486384627529
151,121.0828451918936
154,125.22887021913816
109,115.0527455016059
116,115.52902317023059
91,80.32984312363386
11,14.94584949118009
88,94.62575647641597
108,119.39676581032083
76,68.57034340265874
14,19.47644890181854
89,99.25448372174445
145,120.7565455918818
17,16.388528144379727
66,74.6577410992324
154,126.48373064733187
41,45.30519684675725
182,128.58327635398462
73,79.01890481842804
39,45.29500023151158
58,56.4638618912721
14,14.731438617903073
145,131.48534831063554
88,103.61522041766268
162,129.50796282903994
189,129.25201466502207
120,131.096803598386
98,99.13065739211355
33,30.669651808794764
184,115.08758774785468
110,106.59688137959448
68,75.3433377875976
24,25.352709218498983
75,73.37989588038046
18,21.708715294473905
16,10.40992398186831
166,132.3459411631603
98,40.56847651757954
176,123.11271832699488
81,109.44964660025197
118,99.00781477665495
35,34.32980213464241
131,128.6015059315942
194,129.18556616386783
112,114.12193841134108
26,29.839558561306628
